iter	RMSE
672	0.05862739354
673	0.05858100639
674	0.05852799386
675	0.05844481873
676	0.0583661422
677	0.05830989681
678	0.05821837689
679	0.05820435302
680	0.05812228607
681	0.05809031883
682	0.05802633026
683	0.05796575345
684	0.05788113653
685	0.05783244082
686	0.05775676156
687	0.05768591335
688	0.05764155357
689	0.05760359073
690	0.05755754277
691	0.05750704914
692	0.05741933932
693	0.05738066884
694	0.05734262589
695	0.05731172118
696	0.05726483079
697	0.05720663643
698	0.0571744993
699	0.05715507888
700	0.0570995885
701	0.0570221277
702	0.0569943223
703	0.0569452723
704	0.05689889897
705	0.05686361495
706	0.05684425398
707	0.05683695471
708	0.05681190485
709	0.05676980939
710	0.05676127972
711	0.05669901537
712	0.05661975957
713	0.05659854442
714	0.05650335447
715	0.0564529674
716	0.05641544106
717	0.05637298662
718	0.05634320508
719	0.05631818616
720	0.05625566087
721	0.05624551634
722	0.05623799646
723	0.05617769114
724	0.05617234819
725	0.05616716192
726	0.05604701284
727	0.0559732913
728	0.05593231701
729	0.05586871677
730	0.05580869943
731	0.05573641084
732	0.05569932208
733	0.05562974015
734	0.05562281612
735	0.05549316844
736	0.05543865677
737	0.05541534926
738	0.05534718617
739	0.05530982693
740	0.0553032703
741	0.05527014998
742	0.05522389658
743	0.0551816753
744	0.05515336272
745	0.05508307602
746	0.05500257315
747	0.05494437416
748	0.05489786927
749	0.05486487608
750	0.05482539441
751	0.05475106871
752	0.05471786696
753	0.05466113999
754	0.05462131221
755	0.05456400256
756	0.05451182261
757	0.05445436078
758	0.05438683555
759	0.05437934211
760	0.05433650248
761	0.05430795096
762	0.05424759105
763	0.05419458083
764	0.05414406922
765	0.05413032718
766	0.05408180916
767	0.05402009242
768	0.05397947311
769	0.05395426424
770	0.05390818448
771	0.05389558802
772	0.05386410744
773	0.05382660558
774	0.05375745053
775	0.05372088997
776	0.05369288115
777	0.05364370816
778	0.0536050747
779	0.05355628863
780	0.0535033575
781	0.05344837053
782	0.05340489505
783	0.05332637934
784	0.05327757159
785	0.05323583978
786	0.05320089853
787	0.05316587691
788	0.05315960644
789	0.05312323455
790	0.05311789327
791	0.05306110811
792	0.05304135918
793	0.05300611534
794	0.05296146195
795	0.05291308402
796	0.05288277479
797	0.05284347684
798	0.05280058142
799	0.05272749883
800	0.05269490175
801	0.05262598973
802	0.05261999783
803	0.05254344559
804	0.0525155689
805	0.05247615542
806	0.05243154927
807	0.05240399698
808	0.052370616
809	0.05234653261
810	0.05228361031
811	0.05223170879
812	0.0522034368
813	0.05212022932
814	0.05206697873
815	0.05203458768
816	0.05200267464
817	0.05195856836
818	0.05190735817
819	0.05188332032
820	0.05187836488
821	0.05187254303
822	0.05182433846
823	0.05178290406
824	0.0517661779
825	0.05170432649
826	0.05167199308
827	0.05164296911
828	0.05163338111
829	0.05158230378
830	0.05157844119
831	0.05150652483
832	0.05147577692
833	0.05144597931
834	0.05139693804
835	0.05134778293
836	0.05127657242
837	0.05124085556
838	0.05120635941
839	0.05114855321
840	0.05111871184
841	0.05111332698
842	0.0510883784
843	0.05106401339
844	0.05100822586
845	0.05100282169
846	0.05094750911
847	0.05091976139
848	0.05087572301
849	0.05084869688
850	0.05084437968
851	0.05082533279
852	0.0507661537
853	0.05073078976
854	0.05068533192
855	0.05065331479
856	0.05063006088
857	0.05057634082
858	0.05053126472
859	0.05051367374
860	0.05045925303
861	0.05041200058
862	0.05038479285
863	0.05036461102
864	0.05033090941
865	0.05028290265
866	0.05025957868
867	0.05021244092
868	0.05018756804
869	0.05018072542
870	0.0501406216
871	0.05009183277
872	0.05005452972
873	0.05003116119
874	0.05002693666
875	0.04997013259
876	0.0499500613
877	0.04994453068
878	0.04993469955
879	0.04993005045
880	0.04986184327
881	0.04979057736
882	0.04977205788
883	0.0497213499
884	0.04965816471
885	0.049630083
886	0.04961690678
887	0.04955216539
888	0.04954843094
889	0.04953324106
890	0.04951802717
891	0.0494533408
892	0.04939701943
893	0.04938034106
894	0.0493764778
895	0.04933632491
896	0.04930054653
897	0.04927998933
898	0.04926030143
899	0.04921558921
900	0.04921122809
901	0.04920558246
902	0.04918174321
903	0.04916228212
904	0.0491194247
905	0.04908075965
906	0.04904276229
907	0.0490236109
908	0.04900664416
909	0.04899862792
910	0.04898293288
911	0.04897751226
912	0.04893629233
913	0.04891618134
914	0.0488834414
915	0.04881405661
916	0.04878732629
917	0.04876874275
918	0.04874350546
919	0.04869222875
920	0.0486612535
921	0.04860626564
922	0.04857780914
923	0.04857356782
924	0.04854156412
925	0.04851033054
926	0.04850718245
927	0.04843966038
928	0.04839561047
929	0.04838215426
930	0.04835647589
931	0.04830882973
932	0.04825907745
933	0.04824105395
934	0.04818190577
935	0.04814800399
936	0.04813902286
937	0.04810471259
938	0.04809346613
939	0.04807392373
940	0.0480529213
941	0.04804758221
942	0.04801146699
943	0.0479902071
944	0.04795965238
945	0.04791333283
946	0.04788510192
947	0.04785143758
948	0.04783476926
949	0.04779243708
950	0.04777113527
951	0.04775565934
952	0.04775247686
953	0.04774417614
954	0.04772627482
955	0.04769147767
956	0.04765632849
957	0.04765340012
958	0.04759253173
959	0.04754220245
960	0.047539194
961	0.04750844993
962	0.04745548039
963	0.0473905302
964	0.04738247725
965	0.04733703813
966	0.04729989785
967	0.04722565885
968	0.04718248446
969	0.04715525382
970	0.0471188593
971	0.04707611109
972	0.04704388361
973	0.04701021525
974	0.04695894305
975	0.04691444007
976	0.04686360762
977	0.04686085711
978	0.0468580202
979	0.04682619373
980	0.04676903397
981	0.04673681181
982	0.04671005248
983	0.0466800777
984	0.04667430443
985	0.04666251691
986	0.04663570669
987	0.04662273181
988	0.04661956142
989	0.04659159547
990	0.04656028014
991	0.0465259719
992	0.04649741801
993	0.04648502168
994	0.0464437308
995	0.04644039702
996	0.04639629721
997	0.04635925423
998	0.04635563544
999	0.04635271891
